perioxi,class,per_sqm
ΚΕΦΑ,καντινες,1511.1
ΧΑΝΙ,καντινες,607.7
ΜΑΓΝ,καντινες,384.6
ΗΛΕΙ,καντινες,268.1
ΧΑΛΚ,καντινες,262.0
ΑΡΓΟ,оμπρελοκαθισματα,245.5
ΔΩΔΕ,καντινες,197.1
ΔΩΔΕ,θαλασσια σπορ,154.9
ΑΧΑΪ,καντινες,147.0
ΚΥΚΛ,θαλασσια σπορ,129.9
ΠΕΙΡ,θαλασσια σπορ,123.8
ΕΥΒΟ,καντινες,121.5
ΜΑΓΝ,θαλασσια σπορ,121.2
ΡΟΔΟ,καντινες,73.3
ΛΕΥΚ,καντινες,68.7
ΚΥΚΛ,оμπρελοκαθισματα & καντινες,63.8
ΧΑΝΙ,θαλασσια σπορ,59.4
ΛΑΚΩ,θαλασσια σπορ,55.0
ΠΙΕΡ,καντινες,53.1
ΚΥΚΛ,оμπρελοκαθισματα,50.6
ΗΡΑΚ,θαλασσια σπορ,46.2
ΚΕΦΑ,θαλασσια σπορ,45.1
ΚΕΦΑ,оμπρελοκαθισματα & καντινες,45.0
ΛΕΣΒ,καντινες,45.0
ΑΝΑΤ,оμπρελοκαθισματα,43.4
ΑΡΓΟ,θαλασσια σπορ,42.8
ΑΡΓΟ,αγνωστη χρηση,42.3
ΚΕΡΚ,θαλασσια σπορ,41.7
ΕΥΒΟ,θαλασσια σπορ,40.5
ΑΡΤΑ,καντινες,37.8
ΔΩΔΕ,оμπρελοκαθισματα,34.6
ΚΕΡΚ,αγνωστη χρηση,34.1
ΗΛΕΙ,θαλασσια σπορ,32.6
ΑΙΤΩ,θαλασσια σπορ,31.7
ΚΑΣΤ,αγνωστη χρηση,31.5
ΗΡΑΚ,αγνωστη χρηση,30.6
ΗΡΑΚ,оμπρελοκαθισματα & θαλασσια σπορ,30.6
ΣΑΜΟ,оμπρελοκαθισματα & καντινες,25.0
ΡΈΘΥ,θαλασσια σπορ,24.7
ΠΕΙΡ,оμπρελοκαθισματα & καντινες,24.5
ΠΕΙΡ,оμπρελοκαθισματα,24.2
ΚΑΣΤ,καντινες,24.1
ΛΑΚΩ,оμπρελοκαθισματα & καντινες,24.0
ΕΒΡΟ,τραπεζοκαθισματα,24.0
ΛΑΚΩ,оμπρελοκαθισματα & τραπεζοκαθισματα,23.9
ΜΑΓΝ,оμπρελοκαθισματα,23.7
ΚΑΒΑ,αγνωστη χρηση,22.1
ΛΑΣΗ,καντινες,21.9
ΑΝΑΤ,αγνωστη χρηση,21.0
ΔΥΤΙ,оμπρελοκαθισματα & καντινες,20.8
ΑΝΑΤ,θαλασσια σπορ,20.4
ΛΑΡΙ,θαλασσια σπορ,20.0
ΜΑΓΝ,αγνωστη χρηση,19.9
ΠΡΕΒ,αγνωστη χρηση,19.9
ΜΕΣΣ,καντινες,19.6
ΚΕΡΚ,оμπρελοκαθισματα,18.2
ΒΟΙΩ,θαλασσια σπορ,18.0
ΧΑΝΙ,оμπρελοκαθισματα,17.9
ΗΡΑΚ,καντινες,17.5
ΚΕΦΑ,оμπρελοκαθισματα,16.9
ΚΟΡΙ,оμπρελοκαθισματα,16.6
ΚΑΒΑ,θαλασσια σπορ,16.4
ΧΑΛΚ,θαλασσια σπορ,16.0
ΚΑΣΤ,θαλασσια σπορ,15.7
ΜΕΣΣ,θαλασσια σπορ,15.5
ΛΑΚΩ,оμπρελοκαθισματα,15.5
ΚΑΒΑ,оμπρελοκαθισματα,15.0
ΔΥΤΙ,оμπρελοκαθισματα,15.0
ΧΙΟΣ,θαλασσια σπορ,15.0
ΠΙΕΡ,θαλασσια σπορ,15.0
ΡΈΘΥ,оμπρελοκαθισματα,15.0
ΛΕΣΒ,оμπρελοκαθισματα & καντινες,14.7
ΛΑΣΗ,оμπρελοκαθισματα,14.6
ΛΕΣΒ,θαλασσια σπορ,14.0
ΣΑΜΟ,оμπρελοκαθισματα & τραπεζοκαθισματα,14.0
ΛΑΚΩ,оμπρελοκαθισματα & θαλασσια σπορ,13.8
ΚΟΡΙ,θαλασσια σπορ,13.7
ΡΈΘΥ,оμπρελοκαθισματα & τραπεζοκαθισματα,13.6
ΛΑΡΙ,αγνωστη χρηση,13.4
ΖΑΚΥ,оμπρελοκαθισματα,13.4
ΖΑΚΥ,αγνωστη χρηση,13.4
ΖΑΚΥ,θαλασσια σπορ,13.4
ΚΟΡΙ,αγνωστη χρηση,12.9
ΛΑΚΩ,αγνωστη χρηση,12.6
ΧΙΟΣ,оμπρελοκαθισματα,12.3
ΕΒΡΟ,αγνωστη χρηση,11.7
ΕΒΡΟ,оμπρελοκαθισματα & καντινες,11.7
ΧΙΟΣ,оμπρελοκαθισματα & καντινες,11.7
ΘΕΣΣ,υποδομες αμεα,11.6
ΑΙΤΩ,оμπρελοκαθισματα & καντινες,11.6
ΡΟΔΟ,θαλασσια σπορ,11.5
ΚΟΡΙ,καντινες,11.5
ΕΥΒΟ,оμπρελοκαθισματα & τραπεζοκαθισματα,11.1
ΣΑΜΟ,оμπρελοκαθισματα,11.0
ΑΙΤΩ,καντινες,10.7
ΦΘΙΩ,καντινες,10.5
ΣΕΡΡ,καντινες,9.8
ΗΡΑΚ,оμπρελοκαθισματα,9.7
ΠΙΕΡ,αγνωστη χρηση,9.5
ΕΥΒΟ,оμπρελοκαθισματα,9.4
ΑΡΚΑ,καντινες,9.2
ΛΕΣΒ,оμπρελοκαθισματα,9.0
ΞΑΝΘ,оμπρελοκαθισματα,8.6
ΑΡΚΑ,оμπρελοκαθισματα & θαλασσια σπορ,8.6
ΑΡΚΑ,оμπρελοκαθισματα & τραπεζοκαθισματα,8.6
ΠΙΕΡ,оμπρελοκαθισματα,8.5
ΠΙΕΡ,оμπρελοκαθισματα & τραπεζοκαθισματα,8.4
ΑΡΚΑ,оμπρελοκαθισματα,8.3
ΘΕΣΣ,θαλασσια σπορ,8.0
ΕΒΡΟ,оμπρελοκαθισματα,7.8
ΗΛΕΙ,оμπρελοκαθισματα,7.7
ΜΕΣΣ,оμπρελοκαθισματα,7.5
ΛΑΡΙ,оμπρελοκαθισματα,7.4
ΧΑΛΚ,оμπρελοκαθισματα,6.7
ΦΘΙΩ,оμπρελοκαθισματα & τραπεζοκαθισματα,6.6
ΦΘΙΩ,оμπρελοκαθισματα,6.4
ΘΕΣΠ,оμπρελοκαθισματα,6.0
ΧΑΛΚ,αγνωστη χρηση,6.0
ΑΙΤΩ,оμπρελοκαθισματα,5.9
ΘΕΣΣ,оμπρελοκαθισματα,5.1
ΠΡΕΒ,оμπρελοκαθισματα,4.9
ΣΕΡΡ,оμπρελοκαθισματα,4.9
ΔΡΑΜ,αγνωστη χρηση,4.2
ΕΥΒΟ,αγνωστη χρηση,4.0
ΑΧΑΪ,оμπρελοκαθισματα,3.6
ΡΟΔΟ,оμπρελοκαθισματα,1.3
ΔΡΑΜ,оμπρελοκαθισματα & τραπεζοκαθισματα,0.6
ΒΟΙΩ,оμπρελοκαθισματα,
ΦΘΙΩ,оμπρελοκαθισματα & καντινες,
